Date,Original,Train,Test,Valid
2009-02-01,1534.3960000000002,1364.1405029296875,,
2009-02-08,1294.6966666666667,1475.7576904296875,,
2009-02-15,1167.7166666666667,1105.4224853515625,,
2009-02-22,1033.9859999999999,1130.9725341796875,,
2009-03-01,1004.9183333333334,956.5188598632812,,
2009-03-08,918.495,942.2562866210938,,
2009-03-15,922.628,923.4739379882812,,
2009-03-22,1046.56,889.8904418945312,,
2009-03-29,755.8980000000001,1029.9864501953125,,
2009-04-05,687.3033333333333,701.7203369140625,,
2009-04-12,956.1949999999998,666.3672485351562,,
2009-04-19,702.38,988.0609130859375,,
2009-04-26,716.9499999999999,678.26513671875,,
2009-05-03,1026.5116666666665,742.7722778320312,,
2009-05-10,735.085,1041.4559326171875,,
2009-05-17,846.3366666666665,669.6104736328125,,
2009-05-24,942.2233333333334,901.2525024414062,,
2009-05-31,1253.2083333333333,958.11572265625,,
2009-06-07,2325.77,1255.003662109375,,
2009-06-14,1836.56,2508.072998046875,,
2009-06-21,1718.82,1769.927978515625,,
2009-06-28,1605.56,1661.471435546875,,
2009-07-05,1889.6,1668.86962890625,,
2009-07-12,6324.07,1957.5357666015625,,
2009-07-19,7615.425,7005.841796875,,
2009-07-26,7606.0225,7791.6435546875,,
2009-08-02,7596.62,7368.2158203125,,
2009-08-09,18501.73,7601.8876953125,,
2009-08-16,22258.91,19501.1484375,,
2009-08-23,26016.09,23592.701171875,,
2009-08-30,38600.84,26545.98046875,,
2009-09-06,35998.85,40023.21484375,,
2009-09-13,24071.37,35516.41796875,,
2009-09-20,22560.82,24351.65625,,
2009-09-27,19713.46,24197.310546875,,
2009-10-04,16866.1,20586.4765625,,
2009-10-11,15428.4375,19111.07421875,,
2009-10-18,13990.775,16233.708984375,,
2009-10-25,12553.1125,11419.4443359375,,
2009-11-01,11115.45,11128.4453125,,
2009-11-08,9187.963333333333,10378.44921875,,
2009-11-15,7260.476666666667,8253.84765625,,
2009-11-22,5332.99,6591.048828125,,
2009-11-29,4443.944166666666,4811.451171875,,
2009-12-06,3554.898333333333,4013.077880859375,,
2009-12-13,2982.2433333333333,3153.1962890625,,
2009-12-20,2585.44,2472.219970703125,,
2009-12-27,2120.5566666666664,2079.555419921875,,
2010-01-03,1688.6359999999997,1570.3551025390625,,
2010-01-10,1438.2033333333331,1338.7855224609375,,
2010-01-17,1254.1466666666665,1196.2779541015625,,
2010-01-24,1166.863333333333,1074.252685546875,,
2010-01-31,1060.1016666666667,1052.8975830078125,,
2010-02-07,1042.345,948.6065063476562,,
2010-02-14,1018.7116666666666,932.11865234375,,
2010-02-21,963.692,948.1355590820312,,
2010-02-28,930.0200000000001,911.5668334960938,,
2010-03-07,826.4016666666666,906.6488647460938,,
2010-03-14,857.5116666666667,800.4093627929688,,
2010-03-21,942.7279999999997,857.2427368164062,,
2010-03-28,700.1850000000001,960.6028442382812,,
2010-04-04,493.0216666666666,672.7026977539062,,
2010-04-11,718.4583333333334,468.4527282714844,,
2010-04-18,705.6088888888889,737.045654296875,,
2010-04-25,623.2199999999999,716.2376098632812,,
2010-05-02,901.6139999999999,635.6953125,,
2010-05-09,749.2266666666668,909.8676147460938,,
2010-05-16,686.065,685.7088623046875,,
2010-05-23,876.7683333333334,698.8872680664062,,
2010-05-30,873.4219999999999,937.0977172851562,,
2010-06-06,985.78,861.13720703125,,
2010-06-13,953.81,1046.2427978515625,,
2010-06-20,1541.76,963.7173461914062,,
2010-06-27,2129.71,1571.9259033203125,,
2010-07-04,5415.705,2238.24658203125,,
2010-07-11,8701.7,5731.47802734375,,
2010-07-18,10224.79,9074.6396484375,,
2010-07-25,11747.88,10269.5810546875,,
2010-08-01,15825.656666666666,11933.7666015625,,
2010-08-08,19903.433333333334,16316.1162109375,,
2010-08-15,23981.21,20896.708984375,,
2010-08-22,22010.01,25133.427734375,,
2010-08-29,25492.06,22302.921875,,
2010-09-05,39655.02,26001.21484375,,
2010-09-12,40275.58,42014.4765625,,
2010-09-19,38922.13,41309.80859375,,
2010-09-26,38545.58,39375.984375,,
2010-10-03,38169.03,38632.71484375,,
2010-10-10,27551.19,38277.03515625,,
2010-10-17,16933.35,29452.29296875,,
2010-10-24,14067.154999999999,17126.986328125,,
2010-10-31,11200.96,13897.271484375,,
2010-11-07,9276.0,10921.0283203125,,
2010-11-14,7351.04,9092.0009765625,,
2010-11-21,6365.23,5415.1943359375,,
2010-11-28,5007.16,3388.174560546875,,
2010-12-05,3649.090000000001,3509.029052734375,,
2010-12-12,3152.0499999999997,2756.094482421875,,
2010-12-19,2721.3199999999997,2561.608642578125,,
2010-12-26,2368.693333333333,2199.40380859375,,
2011-01-02,1987.998,2005.79052734375,,
2011-01-09,1784.7549999999999,1652.2724609375,,
2011-01-16,1511.805,1409.5882568359375,,
2011-01-23,1411.8633333333335,1298.3468017578125,,
2011-01-30,1339.5583333333334,1291.2840576171875,,
2011-02-06,1073.521666666667,1252.978759765625,,
2011-02-13,1100.3883333333333,956.4413452148438,,
2011-02-20,1063.532,1044.8797607421875,,
2011-02-27,1011.0880000000001,1013.1940307617188,,
2011-03-06,1005.8233333333333,966.8649291992188,,
2011-03-13,1003.5333333333333,1001.0556640625,,
2011-03-20,1054.1039999999998,956.8668823242188,,
2011-03-27,1057.594,1050.631103515625,,
2011-04-03,921.3083333333335,1065.0498046875,,
2011-04-10,995.9149999999998,902.7066650390625,,
2011-04-17,934.814,1006.5415649414062,,
2011-04-24,820.7350000000001,943.9064331054688,,
2011-05-01,954.2700000000001,821.69140625,,
2011-05-08,894.0233333333334,988.5676879882812,,
2011-05-15,868.4983333333331,876.2098388671875,,
2011-05-22,1033.3880000000001,870.44091796875,,
2011-05-29,1072.6399999999999,1062.4422607421875,,
2011-06-05,1245.995,1057.769775390625,,
2011-06-12,1582.34,1281.869873046875,,
2011-06-19,2160.45,1629.2811279296875,,
2011-06-26,2738.56,2208.10107421875,,
2011-07-03,10124.69,2827.151123046875,,
2011-07-10,17510.82,10843.7587890625,,
2011-07-17,25884.97,18332.44921875,,
2011-07-24,19097.75,26519.400390625,,
2011-07-31,26272.99,18507.478515625,,
2011-08-07,37774.68,26606.677734375,,
2011-08-14,36706.14,40712.7734375,,
2011-08-21,38751.29,38071.86328125,,
2011-08-28,48113.49,40948.2421875,,
2011-09-04,41610.9,48553.01953125,,
2011-09-11,37184.63,41420.74609375,,
2011-09-18,30584.47,39082.59375,,
2011-09-25,36667.77,31098.45703125,,
2011-10-02,44928.3,37213.66796875,,
2011-10-09,47132.79,48077.1015625,,
2011-10-16,36374.38,46661.56640625,,
2011-10-23,18409.45,33847.46484375,,
2011-10-30,10269.58,14787.4130859375,,
2011-11-06,8583.46,10120.3876953125,,
2011-11-13,6740.14,10898.9462890625,,
2011-11-20,6032.66,7896.2451171875,,
2011-11-27,5762.5,4428.6279296875,,
2011-12-04,4213.2300000000005,1621.71142578125,,
2011-12-11,3647.226000000001,980.5990600585938,,
2011-12-18,3177.25,2588.5478515625,,
